Country.of.Origin,Number.of.Bags,Variety,Processing.Method,Aroma,Flavor,Acidity,Balance,Sweetness,Moisture,altitude_mean_meters
Mexico,62,Bourbon,Washed / Wet,7.67,7.42,7.83,7.5,10,0.12,1000
Brazil,8,Mundo Novo,Natural / Dry,7.42,7.58,7.5,7.5,10,0.12,1100
Guatemala,25,Bourbon,Washed / Wet,7.42,7.5,7.5,7.42,10,0.1,157.8864
Costa Rica,15,Catuai,Pulped natural / honey,7.25,7.33,7.33,7.42,10,0,1900
Brazil,200,Mundo Novo,Natural / Dry,7.42,7.5,7.5,7.25,10,0.11,973
Indonesia,166,Other,Other,7.75,7.83,7.75,7.83,10,0.11,1250
Guatemala,130,Bourbon,Washed / Wet,7.58,7.5,7.42,7.25,10,0.1,3280
Brazil,320,Yellow Bourbon,Natural / Dry,7.17,7.58,7.5,7.25,10,0,1
Brazil,300,Yellow Bourbon,Natural / Dry,7.58,7,6.92,7.5,10,0,1
Myanmar,1,Catuai,Washed / Wet,7.33,7.58,7.42,7.33,10,0,4001
Mexico,250,Catuai,Washed / Wet,7.58,7.5,7.5,7.33,10,0.11,1425
Honduras,275,Catuai,Washed / Wet,7.5,7.5,7.5,7.25,10,0.12,1400
Costa Rica,275,Caturra,Washed / Wet,7.67,7.5,7.25,7.42,10,0.09,1300
Taiwan,8,Typica,Washed / Wet,7.67,7.33,7.25,7.33,10,0,700
Indonesia,300,Typica,Other,7.42,7.42,7.33,7.42,10,0.11,1300
Malawi,24,Gesha,Washed / Wet,7.58,7.42,7.33,7.42,10,0.13,1556
Brazil,320,Bourbon,Natural / Dry,7.33,7.58,7.17,7.33,10,0.11,1100
Honduras,275,Caturra,Natural / Dry,7.5,7.5,7.33,7.33,10,0.1,1350
Mexico,280,Typica,Washed / Wet,7.42,7.42,7.5,7.42,10,0.11,1550
Colombia,50,Caturra,Washed / Wet,7.5,7.5,7.42,7.58,10,0,1775
Brazil,300,Bourbon,Semi-washed / Semi-pulped,7.75,7.75,7.42,7.75,9.33,0.12,1250
Guatemala,250,Bourbon,Washed / Wet,7.83,7.67,7.33,7.83,9.33,0.11,1310.64
Mexico,302,Bourbon,Washed / Wet,7.83,7.33,7.58,7.33,10,0.12,1500
Mexico,15,Typica,Semi-washed / Semi-pulped,7.33,7.33,7.5,7.5,10,0.12,1250
Guatemala,50,Bourbon,Washed / Wet,7.5,7.5,7.42,7.33,10,0.11,1700
Vietnam,1,Caturra,Washed / Wet,7,7.08,7.5,7.33,10,0.12,1040
"Tanzania, United Republic Of",1,Other,Washed / Wet,7.42,7.42,7.42,7.33,10,0.12,1600
Mexico,10,Bourbon,Washed / Wet,7.5,7.5,7.42,7.25,10,0.13,774
Mexico,100,Mundo Novo,Washed / Wet,7.42,7.5,7.67,7.42,10,0.13,1250
Mexico,42,Typica,Washed / Wet,7.42,7.5,7.58,7.33,10,0.11,1100
Mexico,250,Caturra,Washed / Wet,7.33,7.42,7.67,7.25,10,0.12,1550
Mexico,28,Typica,Washed / Wet,7.5,7.42,7.33,7.25,10,0.12,1650
Colombia,250,Caturra,Washed / Wet,7.33,7.42,7.33,7.67,10,0,1750
Brazil,320,Bourbon,Natural / Dry,7.42,7.5,7.5,7.25,10,0.11,890
Guatemala,50,Bourbon,Washed / Wet,7.42,7.42,7.42,7.42,10,0.1,1700
Guatemala,80,Bourbon,Washed / Wet,7.42,7.33,7.67,7.42,10,0.12,1219.2
Honduras,275,Catuai,Washed / Wet,7.58,7.5,7.33,7.25,10,0.11,1450
Brazil,320,Yellow Bourbon,Natural / Dry,7.25,7.75,7.42,7.58,10,0,1
"Tanzania, United Republic Of",20,Other,Washed / Wet,7.42,7.33,7.42,7.42,10,0.12,1500
"Tanzania, United Republic Of",10,Other,Washed / Wet,7.33,7.33,7.25,7.33,10,0.12,1700
Brazil,300,Bourbon,Washed / Wet,7.25,7.42,7.5,7.42,10,0.1,1260
Honduras,275,Caturra,Natural / Dry,7.5,7.33,7.5,7.17,10,0.1,1400
Costa Rica,275,Caturra,Washed / Wet,7.5,7.17,7.17,7.08,10,0.11,1850
Taiwan,10,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,10,0.11,150
Taiwan,10,Typica,Washed / Wet,7.58,7.42,7.42,7.33,10,0.11,750
Mexico,310,Typica,Washed / Wet,7.5,7.42,7.58,7.33,10,0.12,1400
Guatemala,275,Bourbon,Washed / Wet,7.5,7.67,7.33,7.33,10,0.11,1752.6
Mexico,100,Typica,Washed / Wet,7.25,7.67,7.67,7.58,10,0.13,1650
Mexico,15,Bourbon,Washed / Wet,7.67,7.25,7.75,7.25,10,0.11,1400
Mexico,275,Bourbon,Washed / Wet,7.5,7.42,7.42,7.42,10,0.11,1200
Mexico,250,Bourbon,Washed / Wet,7.58,7.42,7.58,7.17,10,0.11,1400
Mexico,12,Caturra,Semi-washed / Semi-pulped,7.75,7.58,7.17,7.33,10,0.11,940
Honduras,275,Catimor,Washed / Wet,7.5,7.42,7.42,7.33,10,0.11,1200
Guatemala,25,Bourbon,Washed / Wet,7.42,7.42,7.5,7.33,10,0.12,190164
Taiwan,20,Typica,Washed / Wet,7.42,7.42,7.67,7.25,10,0.1,800
Costa Rica,250,Caturra,Washed / Wet,7.58,7.42,7.17,7.58,10,0.12,13
"Tanzania, United Republic Of",100,Other,Washed / Wet,7.42,7.42,7.42,7.33,10,0.12,1800
Malawi,10,Gesha,Washed / Wet,7.42,7.42,7.58,7.33,10,0.13,1100
Taiwan,50,Typica,Semi-washed / Semi-pulped,7.33,7.17,7.08,8.25,9.33,0,850
Brazil,300,Yellow Bourbon,Washed / Wet,7.42,7.42,7.33,7.25,10,0.12,1260
Guatemala,250,Bourbon,Washed / Wet,7.42,7.33,7.58,7.5,10,0.12,1310.64
Mexico,310,Typica,Washed / Wet,7.67,7.5,7.5,7.42,10,0.12,1400
Mexico,28,Marigojipe,Natural / Dry,7.33,7.5,7.5,7.17,10,0.11,1600
Mexico,28,Typica,Natural / Dry,7.67,7.58,7.58,7.42,8.67,0.11,1650
Guatemala,50,Bourbon,Washed / Wet,7.67,7.58,7.42,7.42,10,0.1,1219.2
Nicaragua,550,Caturra,Other,7.5,7.42,7.33,7.33,10,0.11,1100
Honduras,275,Caturra,Washed / Wet,7.5,7.5,7.42,7.25,10,0.1,1400
Taiwan,123,Typica,Natural / Dry,7.5,7.42,7.08,7.25,10,0.12,180
Myanmar,1,Catuai,Washed / Wet,7.25,7.42,7.5,7.33,10,0,1219.2
Costa Rica,250,Caturra,Washed / Wet,7.83,7.33,7.08,7.5,10,0.12,1200
Malawi,15,Gesha,Washed / Wet,7.67,7.42,7.5,7.17,10,0.12,1599
Guatemala,250,Other,Washed / Wet,7.5,7.42,7.58,7.42,10,0.12,1219.2
Taiwan,50,Typica,Washed / Wet,7.42,7.33,7.33,7.5,9.33,0.11,900
Brazil,300,Yellow Bourbon,Semi-washed / Semi-pulped,7.58,7.5,7.67,7.83,9.33,0,1200
Haiti,300,Blue Mountain,Washed / Wet,7.42,7.33,7.42,7.33,10,0.11,825
Taiwan,5,Typica,Other,7.5,7.42,7.25,7.33,10,0.11,600
Mexico,250,Typica,Washed / Wet,7.33,7.33,7.42,7.5,10,0.13,1150
Mexico,250,Typica,Washed / Wet,7.58,7.42,7.42,7.33,10,0.12,1600
Mexico,30,Catuai,Washed / Wet,7.42,7.25,7.42,8,10,0.12,1100
Mexico,20,Typica,Semi-washed / Semi-pulped,7.33,7.5,7.33,7.42,10,0.11,1000
Mexico,50,Bourbon,Washed / Wet,7.42,7.42,7.17,7.42,10,0.13,1250
Mexico,15,Typica,Natural / Dry,7.5,7.5,7.5,7.58,10,0.11,1100
Indonesia,10,Other,Washed / Wet,7.75,7.17,7.33,7.33,10,0.12,1400
Brazil,300,Bourbon,Semi-washed / Semi-pulped,7.5,7.42,7.42,7.33,10,0.12,125
Mexico,200,Mundo Novo,Washed / Wet,7.58,7.33,7.33,7.33,10,0.12,1100
Guatemala,450,Catuai,Washed / Wet,7.42,7.33,7.58,7.25,10,0.1,1371.6
Brazil,300,Catuai,Natural / Dry,7.33,7.5,7.33,7.42,10,0.11,1100
Honduras,275,Catuai,Washed / Wet,7.5,7.33,7.25,7.42,10,0.12,1400
Taiwan,10,Typica,Washed / Wet,7.83,7.75,7.17,7.08,10,0.12,110
Malawi,12,Gesha,Washed / Wet,7.58,7.17,7.42,7.42,10,0.12,1422
Brazil,320,Bourbon,Natural / Dry,7.25,7.5,7.17,7.33,10,0,1100
Guatemala,250,Bourbon,Washed / Wet,7.42,7.5,7.42,7.42,10,0.1,1550
Mexico,280,Typica,Washed / Wet,7.67,7.33,7.17,7.42,10,0,1550
Guatemala,250,Bourbon,Washed / Wet,7.42,7.33,7.42,7.5,10,0.12,1310.64
Mexico,10,Caturra,Washed / Wet,7.42,7.33,7.17,7.42,10,0.13,763
Mexico,20,Typica,Washed / Wet,7.42,7.42,7.25,7.33,10,0.13,1100
Colombia,250,Caturra,Natural / Dry,7.5,7.42,7.17,7.75,10,0.11,1750
Honduras,275,Caturra,Washed / Wet,7.5,7.5,7.17,7.33,10,0.11,1500
Brazil,300,Catuai,Natural / Dry,7.25,7.33,7.33,7.42,10,0.11,1100
Honduras,275,Catuai,Washed / Wet,7.58,7.42,7.42,7.17,10,0.09,1350
Brazil,300,Yellow Bourbon,Other,7.17,7.33,7.25,7.33,10,0.12,1200
Philippines,2,Other,Washed / Wet,7.08,7.33,7.33,7.5,10,0.14,1400
Malawi,31,Gesha,Washed / Wet,7.75,7.33,7.33,7.25,10,0.13,1200
Honduras,275,Catuai,Washed / Wet,7.33,7.33,7.33,7.33,10,0.12,1450
Mexico,250,Typica,Washed / Wet,7.58,7.42,7.33,7.25,10,0.13,1800
Mexico,70,Typica,Washed / Wet,7.33,7.25,7.42,7.33,10,0.12,1000
Brazil,42,Catuai,Natural / Dry,7.5,7.58,7.5,7.83,9.33,0.11,1100
Taiwan,20,Typica,Natural / Dry,7.83,7.75,7.83,7.75,10,0.12,680
Brazil,320,Yellow Bourbon,Natural / Dry,7.17,7.42,7.08,8.17,10,0,1
Nicaragua,275,Catuai,Washed / Wet,7.08,7.5,7.17,7.25,10,0.1,1100
Honduras,275,Catuai,Washed / Wet,7.42,7.17,7.5,7.25,10,0.12,1400
Guatemala,36,Pacamara,Washed / Wet,7.33,7.42,7.25,7.33,10,0.09,1700
"Tanzania, United Republic Of",100,Other,Washed / Wet,7.33,7.17,7.5,7.42,10,0.13,1700
Taiwan,10,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.25,7.25,10,0.11,650
Guatemala,250,Caturra,Washed / Wet,7.5,7.33,7.58,7.25,10,0.11,1524
Mexico,250,Typica,Washed / Wet,7.42,7.42,7.33,7.42,10,0.12,1500
"Tanzania, United Republic Of",100,Bourbon,Washed / Wet,7.67,7.17,7.33,7.17,10,0.12,1050
Mexico,275,Caturra,Washed / Wet,7.75,7.58,7.25,7.25,10,0.12,1200
Costa Rica,275,Caturra,Washed / Wet,7.5,7.5,7.17,7.17,10,0.11,1300
Honduras,275,Catuai,Natural / Dry,7.42,7.33,7.42,7.33,10,0.13,1450
Thailand,20,Caturra,Washed / Wet,6.83,7.42,7.17,7.42,10,0.12,1450
Philippines,2,Typica,Natural / Dry,7.25,7.25,7.08,7.5,10,0,1200
"Tanzania, United Republic Of",320,Bourbon,Washed / Wet,7.58,7.17,7.33,7.25,10,0.12,1550
Malawi,300,Caturra,Washed / Wet,7.58,7.25,7.08,7.33,10,0.12,995
Costa Rica,250,Catuai,Washed / Wet,7.33,7.08,7.25,7.58,10,0.11,1300
Mexico,250,Typica,Natural / Dry,7.42,7.25,7.75,7.17,10,0.13,1800
Guatemala,250,Caturra,Washed / Wet,7.42,7.25,7.25,7.42,10,0.12,1450
Brazil,17,Mundo Novo,Natural / Dry,7.42,7.33,7.42,7.17,10,0.12,1000
Brazil,500,Mundo Novo,Natural / Dry,7.58,7.42,7.25,7.58,9.33,0.11,695
Nicaragua,275,Other,Washed / Wet,7.33,7.33,7.42,7.33,10,0.11,1100
United States,1,Pache Comun,Natural / Dry,7.42,7.17,7.42,7.33,10,0,1706.88
"Tanzania, United Republic Of",54,Other,Washed / Wet,7.42,7.33,7.25,7.33,10,0.13,1456
Costa Rica,250,Caturra,Washed / Wet,7.42,7.25,7.25,7.58,10,0.13,1500
United States (Puerto Rico),18,Other,Washed / Wet,7.67,7.75,7.58,7.67,10,0,853.44
Mexico,100,Typica,Washed / Wet,7.25,7.42,7.33,7.33,10,0.13,1650
Mexico,30,Typica,Washed / Wet,7.33,7.25,7.42,7.42,10,0.12,1300
Mexico,40,Typica,Washed / Wet,7.33,7.33,7.42,7.25,10,0.11,1642
Mexico,15,Typica,Washed / Wet,7.42,7.33,7.42,7.25,10,0.1,1200
El Salvador,100,Bourbon,Washed / Wet,7.42,7.08,7.33,7.58,10,0,1450
Guatemala,120,Bourbon,Washed / Wet,7.42,7.25,7.5,7.17,10,0.09,3280
Colombia,43,Caturra,Washed / Wet,7.67,7.5,5.25,7.75,10,0,1600
Guatemala,250,Bourbon,Washed / Wet,7.5,7.25,7.25,7.25,10,0.11,1219.2
Taiwan,10,Typica,Washed / Wet,7.25,7.17,7.25,7.33,10,0.12,758
Honduras,275,Caturra,Natural / Dry,7.42,7.25,7.33,7.17,10,0.12,1350
"Tanzania, United Republic Of",1,Other,Washed / Wet,7.33,7.33,7.42,7.33,10,0.12,1525
Uganda,320,SL14,Natural / Dry,7.33,6.92,7.33,7.42,10,0.12,1700
Taiwan,10,Typica,Semi-washed / Semi-pulped,7.5,6.92,7.33,7.33,10,0.11,1100
Mexico,10,Other,Washed / Wet,7.08,7.33,7.33,7.25,10,0.12,950
Mexico,200,Typica,Washed / Wet,7.58,7.67,7.67,7.5,10,0,1100
Taiwan,150,Other,Washed / Wet,7.33,7.17,7.33,7.25,10,0,200
Guatemala,25,Bourbon,Washed / Wet,7.67,7.67,7.58,7.5,9.33,0.1,1901
Kenya,150,SL28,Washed / Wet,7.17,7.58,7.5,7.75,10,0.11,1600
Mexico,240,Bourbon,Washed / Wet,7.5,7.33,7.42,7.33,10,0.11,1100
Myanmar,2,Other,Other,7.17,7.42,7.58,7,10,0,1066.8
"Tanzania, United Republic Of",250,Other,Washed / Wet,7.33,7.17,7.25,7.33,10,0.12,1700
Brazil,300,Yellow Bourbon,Natural / Dry,7.25,7.33,7.25,7.33,10,0.12,1200
Taiwan,10,Typica,Washed / Wet,7.92,7.67,7.08,7.08,10,0.09,550
Brazil,320,Bourbon,Natural / Dry,7.17,7.42,7.25,7.33,10,0.1,1100
Nicaragua,275,Caturra,Washed / Wet,7.33,7.08,7,7.42,10,0.1,1050
Guatemala,250,Pacas,Washed / Wet,7.58,7.42,7.5,7.17,10,0.12,1524
Taiwan,35,Typica,Washed / Wet,7.42,7.25,7.25,7.25,10,0.11,900
Taiwan,5,Typica,Other,7.25,7.17,7.08,8.08,10,0.11,688
Taiwan,10,Typica,Washed / Wet,7.42,7.25,7.25,7.25,10,0.11,300
Mexico,60,Typica,Washed / Wet,7.58,7.33,7.5,7.25,10,0.13,1186
Laos,20,Catimor,Washed / Wet,7.42,7.33,7.17,7.25,10,0,1300
Guatemala,250,Caturra,Washed / Wet,7.67,7.25,7.33,7.25,10,0.11,1200
Mexico,15,Catuai,Semi-washed / Semi-pulped,7.17,7.08,7.42,7.33,10,0.13,1210
Mexico,30,Typica,Washed / Wet,7.33,7.25,7.33,7.17,10,0.11,1100
Mexico,100,Bourbon,Washed / Wet,7.5,7.17,7.25,7.17,10,0.13,100
Myanmar,1,Catuai,Washed / Wet,6.92,7.5,7.58,7.08,10,0,3825
Guatemala,275,Caturra,Washed / Wet,7.5,7.33,7.42,7.17,10,0.12,1706.88
Nicaragua,275,Other,Washed / Wet,7.25,7.25,7.25,7.25,10,0.12,110000
Honduras,275,Caturra,Natural / Dry,7.5,7.33,7.42,7.17,10,0.11,1450
Panama,100,Caturra,Other,7.25,7.33,7.33,7.17,10,0.11,1680
Honduras,275,Catuai,Washed / Wet,7.42,7.17,7.42,7.25,10,0.09,1350
Honduras,275,Catuai,Natural / Dry,7.25,7.33,7.5,7.33,10,0.13,1450
Costa Rica,250,Caturra,Washed / Wet,7.33,7.33,7.25,7.17,10,0.11,1300
Mexico,30,Typica,Washed / Wet,7.58,7.33,7.25,7.5,10,0.11,1200
Haiti,1,Typica,Washed / Wet,7.42,7,7.25,7.33,10,0.12,1000
Indonesia,200,Mandheling,Semi-washed / Semi-pulped,7.58,7.42,7.67,7.5,10,0.13,1350
Guatemala,150,Bourbon,Washed / Wet,7.67,7.42,7.17,7.17,10,0.11,1500
Costa Rica,240,Caturra,Washed / Wet,7.83,7.5,7.67,7.5,10,0.11,185
Malawi,100,Caturra,Washed / Wet,7.5,7.25,7.17,7.17,10,0.12,995
Mexico,20,Typica,Washed / Wet,7.25,7.17,7.25,7.42,10,0.12,1200
Colombia,250,Caturra,Natural / Dry,7.67,7.5,7.67,7.75,6.67,0,1550
Guatemala,250,Bourbon,Washed / Wet,7.67,7.17,7.5,7,10,0.12,1550
"Tanzania, United Republic Of",10,Other,Washed / Wet,7.25,7.08,7.33,7.25,10,0.12,1400
Brazil,300,Bourbon,Semi-washed / Semi-pulped,7.42,7.25,7,7.25,10,0,1200
Honduras,275,Caturra,Washed / Wet,7.5,7.17,7.42,7,10,0.11,1400
Guatemala,275,Bourbon,Natural / Dry,7.17,7.42,7.5,7.25,10,0.11,1383.792
Taiwan,20,Other,Natural / Dry,7.17,7.17,7.42,7.25,10,0,50
Guatemala,275,Caturra,Washed / Wet,7.33,7.25,7.17,7.17,10,0.1,1500
Honduras,15,Catuai,Washed / Wet,7.58,7.33,7.17,7.08,10,0.11,1650
Brazil,300,Yellow Bourbon,Semi-washed / Semi-pulped,7.25,7.33,7.5,7.25,10,0.11,1250
Myanmar,1,Other,Washed / Wet,7.17,7.33,7.42,7.08,10,0,3800
Guatemala,275,Other,Washed / Wet,7.5,7.17,7.5,7.17,10,0.11,1219.2
Brazil,300,Yellow Bourbon,Semi-washed / Semi-pulped,7.42,7.42,7.33,7.5,10,0.1,1250
Guatemala,250,Bourbon,Washed / Wet,7.5,7.5,7.67,7,10,0.12,1859.28
Mexico,18,Typica,Washed / Wet,7.25,7.25,7.33,7.17,10,0.15,1450
Taiwan,10,Typica,Washed / Wet,7.58,7.17,7.17,7.17,10,0.14,600
El Salvador,2,Bourbon,Washed / Wet,7.33,7.17,7.08,7.17,10,0,1450
China,1,Other,Washed / Wet,7.25,7.08,7.17,7.17,10,0.17,1700
Taiwan,10,Typica,Washed / Wet,7.25,7.25,7.25,7.25,10,0.11,600
Mexico,250,Typica,Washed / Wet,6.92,7.17,7.5,7.17,10,0.1,1050
Mexico,250,Caturra,Washed / Wet,7.42,7.08,7.33,7.17,10,0.12,1550
"Tanzania, United Republic Of",10,Bourbon,Washed / Wet,7.25,7.17,7.25,7.08,10,0.13,1700
Taiwan,10,Yellow Bourbon,Other,7.25,7.25,7.25,7.25,10,0.11,600
Guatemala,250,Bourbon,Washed / Wet,7.33,7.33,7.5,7.17,10,0.11,1310.64
Mexico,10,Typica,Semi-washed / Semi-pulped,7.25,7.08,7.33,7.17,10,0.11,940
Brazil,440,Catuai,Natural / Dry,7.17,7.33,7.08,7,10,0.11,995
Honduras,275,Caturra,Natural / Dry,7.25,7.25,7,7,10,0.1,1400
Mexico,60,Caturra,Washed / Wet,7.25,7.17,7.33,7,10,0.1,1600
Myanmar,2,Other,Natural / Dry,8,7.08,7.33,6.92,10,0.11,914.4
Myanmar,1,Catuai,Natural / Dry,7.42,7,7,7.33,10,0,4287
Nicaragua,275,Caturra,Washed / Wet,7.08,6.92,7.25,7.25,10,0.11,900
Taiwan,5,Typica,Semi-washed / Semi-pulped,7.25,7.08,7.25,7.25,10,0.11,700
Guatemala,250,Caturra,Washed / Wet,7,7.17,7.33,7.17,10,0.11,1400
Mexico,10,Caturra,Washed / Wet,7.58,7.33,7.25,7,10,0.11,808
Vietnam,1,Catimor,Other,7.42,7.25,7.58,7.33,10,0,1550
Nicaragua,275,Caturra,Washed / Wet,7.17,7.08,7.33,7.08,10,0.11,1187.5
Honduras,275,Catuai,Washed / Wet,7.25,7.25,7.17,7.08,10,0.11,1400
Guatemala,250,Bourbon,Washed / Wet,7.33,7.33,7.17,7.17,10,0.11,1310.64
Mexico,20,Typica,Washed / Wet,7.33,7.08,7.42,7.08,10,0.11,1250
Mexico,15,Typica,Washed / Wet,7.58,7.42,7.5,7.17,10,0.14,1550
Mexico,15,Bourbon,Washed / Wet,7.33,7.33,7.08,7,10,0.12,1000
Guatemala,250,Bourbon,Washed / Wet,7.33,7.33,7.33,7,10,0.11,1310.64
Brazil,440,Bourbon,Pulped natural / honey,7.17,7.17,7.17,7.25,10,0.11,1100
Taiwan,10,Typica,Washed / Wet,7.42,7.25,7.17,7,10,0.07,850
Taiwan,10,Typica,Other,7.25,7.25,7.25,7,10,0.11,200
Taiwan,10,Typica,Washed / Wet,7.25,7.25,7,7.08,10,0.11,150
Taiwan,10,Typica,Semi-washed / Semi-pulped,7.25,7.25,7.08,7.08,10,0.11,250
Mexico,13,Typica,Washed / Wet,7.33,7.17,7.08,7.08,10,0.15,1300
Mexico,10,Typica,Washed / Wet,7.25,7.08,7.17,7.17,10,0.14,1300
Nicaragua,275,Caturra,Washed / Wet,7.33,7.08,7.08,7.17,10,0.1,1250
Myanmar,1,Other,Washed / Wet,7.17,7.33,7.42,7,10,0,3845
Mexico,280,Typica,Washed / Wet,7.58,7.75,7.5,7.5,10,0,1400
Taiwan,10,Typica,Washed / Wet,7.25,7.25,7,7,10,0.11,250
Mexico,20,Typica,Washed / Wet,7.25,7.25,7.17,7.33,10,0.12,1250
Mexico,256,Other,Washed / Wet,7.08,7.33,7.33,7,10,0.11,1100
Mexico,400,Bourbon,Washed / Wet,7.33,7.08,7.33,7.17,10,0.12,1300
Mexico,10,Other,Washed / Wet,7.17,7.17,7.25,7.08,10,0.12,1100
Mexico,82,Bourbon,Washed / Wet,7.5,7.17,7.17,7.08,10,0,1100
Mexico,250,Catuai,Washed / Wet,7.17,7.08,7.08,7.33,10,0.11,1100
Mexico,100,Typica,Natural / Dry,7.33,7.25,7.42,7.17,10,0.12,1250
Mexico,209,Mundo Novo,Washed / Wet,7.17,7.33,7.58,7.08,10,0.11,1250
Kenya,200,SL34,Washed / Wet,7,7.08,7.17,7.25,10,0.11,1500
Guatemala,50,Bourbon,Washed / Wet,7.33,7.25,7.33,7.33,10,0.1,1700
Nicaragua,75,Caturra,Washed / Wet,6.83,7.17,6.92,7.08,10,0.11,1250
Mexico,250,Typica,Washed / Wet,7.17,7.08,7.25,7,10,0.12,1300
Guatemala,25,Bourbon,Washed / Wet,7.5,7.42,7.58,7.42,9.33,0.1,190164
Taiwan,28,Typica,Natural / Dry,7.75,7.33,7.33,7.83,8.67,0,1000
Taiwan,50,Typica,Washed / Wet,7.08,7.08,7,7.17,10,0.1,600
Costa Rica,275,Catuai,Washed / Wet,7.58,7.5,7.75,7.58,10,0.1,1100
Mexico,310,Typica,Washed / Wet,7.58,7.08,7,6.92,10,0.12,1400
Mexico,275,Bourbon,Washed / Wet,7.58,7.08,7.58,6.92,10,0.13,1022
Mexico,380,Bourbon,Washed / Wet,7.25,7.08,7.17,7.08,10,0.12,1300
Mexico,12,Bourbon,Washed / Wet,7.25,7.17,7.08,7,10,0.14,1450
Mexico,250,Typica,Washed / Wet,7.33,7.25,7.08,7,10,0.1,1050
Mexico,36,Typica,Washed / Wet,7.25,6.83,7.08,7.08,10,0.12,1100
Guatemala,25,Bourbon,Washed / Wet,7.42,7.42,7.58,7.33,9.33,0.1,1219.2
El Salvador,275,Bourbon,Washed / Wet,7.25,7.08,6.83,7.17,10,0,1250
Guatemala,250,Bourbon,Washed / Wet,7.5,7,7.08,7.17,10,0.11,1310.64
Mexico,310,Typica,Washed / Wet,7.42,7.25,7.58,6.58,10,0.12,1400
Mexico,10,Caturra,Washed / Wet,7.33,7.17,6.75,7,10,0.13,975
Mexico,253,Mundo Novo,Washed / Wet,6.92,7.17,7.17,7.08,10,0,1264
Mexico,50,Typica,Washed / Wet,7.08,7,7.33,7.08,10,0.12,1250
Mexico,250,Caturra,Washed / Wet,7.25,6.92,7.33,7,10,0.13,1550
Nicaragua,275,Caturra,Natural / Dry,6.92,6.92,7.42,7,10,0.12,1050
Taiwan,10,Typica,Natural / Dry,6.92,7,7,7,10,0,700
Colombia,250,Caturra,Washed / Wet,7.83,7.5,7.42,7.5,10,0,1550
Mexico,250,Caturra,Washed / Wet,7.25,7.08,7.25,7.08,10,0.12,1550
Mexico,127,Typica,Washed / Wet,7.25,7.33,7.25,7.17,10,0.12,1100
Guatemala,250,Bourbon,Washed / Wet,7.08,7.33,7.58,7.42,9.33,0.1,1219.2
Guatemala,275,Other,Washed / Wet,7.25,7.33,7,7.17,10,0.1,1219.2
Mexico,10,Typica,Washed / Wet,7,6.83,7.42,7.17,10,0.13,800
Colombia,250,Caturra,Washed / Wet,7.42,7.25,7.25,7.25,10,0,1200
Mexico,30,Typica,Washed / Wet,7,7,7.33,6.92,10,0.14,950
Mexico,50,Typica,Washed / Wet,7.42,7.17,7.17,7.08,10,0.14,750
Taiwan,50,Typica,Washed / Wet,7.08,6.83,7.25,7.08,10,0.11,850
Mexico,12,Bourbon,Washed / Wet,7,7,7.17,7.08,10,0.13,1000
Guatemala,50,Bourbon,Washed / Wet,7.33,7.42,7.42,7.42,9.33,0.1,1219.2
Honduras,15,Catuai,Washed / Wet,7.58,7,6.92,6.92,10,0.11,1650
Guatemala,250,Bourbon,Washed / Wet,7.08,7,7.42,6.92,10,0.11,1320
Guatemala,275,Catuai,Washed / Wet,7.25,7.17,7.25,6.92,10,0.11,1550
Mexico,10,Typica,Washed / Wet,7.25,7.08,7.08,7.17,10,0.14,1550
Mexico,53,Typica,Washed / Wet,7.17,6.92,7.08,7,10,0.14,1450
Guatemala,50,Bourbon,Washed / Wet,7.58,7.67,7.42,7.67,8.67,0.1,1700
United States (Puerto Rico),18,Other,Washed / Wet,7.42,7.08,7.33,6.92,10,0.13,853.44
Mexico,13,Typica,Washed / Wet,7.33,7,7.25,7.08,10,0.16,1500
Mexico,10,Mundo Novo,Washed / Wet,7.25,7.08,7.33,7,10,0.11,1100
Mexico,10,Typica,Washed / Wet,7.17,7.25,7.17,7.08,10,0.1,1200
Guatemala,250,Other,Washed / Wet,7.33,7.17,7.42,6.83,10,0.12,1219.2
Honduras,275,Pacas,Washed / Wet,7,7,7,7,10,0.11,1350
Peru,280,Typica,Washed / Wet,7.67,7.17,7.25,7.5,9.33,0,1400
Mexico,14,Mundo Novo,Natural / Dry,6.75,7.08,7.25,7.08,10,0.12,1300
Mexico,16,Typica,Semi-washed / Semi-pulped,7.5,7.17,7.5,7,10,0.14,1550
Mexico,120,Typica,Washed / Wet,7.17,6.83,7.25,6.92,10,0.14,12
Mexico,250,Typica,Washed / Wet,7.33,7,7.08,7.25,10,0.12,1300
Mexico,14,Typica,Washed / Wet,7.5,7,7.08,6.75,10,0.16,1400
Nicaragua,1,Caturra,Other,7.17,7,7,7,10,0.1,1100
Guatemala,250,Bourbon,Washed / Wet,7.33,7.08,7.25,7,10,0.12,1310.64
Mexico,20,Typica,Washed / Wet,7.25,6.83,7,7,10,0.14,1320
Mexico,35,Typica,Semi-washed / Semi-pulped,7.25,7.33,7.25,7,10,0.14,1250
Mexico,10,Bourbon,Washed / Wet,7.67,7.17,7.33,7.17,8.67,0.12,1350
China,1,Typica,Washed / Wet,7,6.92,7.17,7.17,9.33,0,1850
Mexico,20,Caturra,Washed / Wet,6.92,6.92,7.25,6.92,10,0.13,1150
